username,userid,profile_location,created_at,text,retweet_count,source,coordinates
there are bone s in mE ahhhhhhhh,224043070,"Merriam, KS",2023-01-22 06:21:54,@MiKE_i0S @Walmart nah no walmart I've ever seen has anything in cases except electronics and airsoft guns,0,Twitter Web App,
Biblically Accurate Jackson,69824918,"Olathe, KS",2023-01-22 04:45:07,Minority Report is a good movie with awful CG and is blindingly bright at points. Aside from the Top Guns it also m… https://t.co/lCKO08vuPx,0,TweetDeck,
Christopher Walsh,1114315662497931265,"Overland Park, KS",2023-01-22 03:52:50,@RnRNationlive @RnRliveRadio Guns N Roses,0,Twitter for Android,
Tinda Zaszcek (she/her),1415641722231697413,Kansas City,2023-01-22 02:31:22,@AndrewMGorham YOUNG GUNS is an interesting franchise because if I saw it for the first time today I'd be annoyed t… https://t.co/VVCYxRMAIN,0,Twitter Web App,
Dexter's Greenhouse,1514235272053018630,"Kansas City, MO",2023-01-22 00:53:35,@Peter_Grinspoon If you believe in gun control it is because you haven't thoroughly researched it. The more you kno… https://t.co/70uotE03Q8,0,Twitter for Android,
"Alex Kolster, M.M.E.",46316721,"Kansas City, MO",2023-01-22 00:15:59,"Enough with the faux outrage, @GovParsonMO. Guns are a bigger threat to our children than a drag show. I know tweet… https://t.co/wkIdEA1qUe",0,Twitter for iPhone,
Jay Elder,798862858666803200,"Kansas City, MO",2023-01-21 23:42:22,@ReturnofR Anything by Guns n Roses,0,Twitter for iPhone,
Norman W Merritt,491917016,Kansas City,2023-01-21 22:04:43,@bluedoglatino @ericareport I disagree. During the 1940’s in Germany the government was the only one that had guns.… https://t.co/UuTLtewche,0,Twitter for iPhone,
Norman W Merritt,491917016,Kansas City,2023-01-21 22:02:37,@MagicianRoogna @ericareport I Can. To defend yourself from the other guy with equal or greater arms. The musket wa… https://t.co/wwr8ljeJgO,0,Twitter for iPhone,
Alexander Thomas 🇺🇲,1594539914137403392,"Smithville, MO",2023-01-21 21:42:45,@ericareport Nope. Everything I saw and watched has led me to believe he was just defending his life from a bunch o… https://t.co/oLekGezBfM,0,Twitter for Android,
KCsportsfan03,1482813364321632261,"Kansas City, MO",2023-01-21 21:03:09,@TedBryant @hodgetwins Get your guns ready,0,Twitter for iPhone,
KCsportsfan03,1482813364321632261,"Kansas City, MO",2023-01-21 20:37:04,@SydneyLWatson Gets your guns ready,0,Twitter for iPhone,
Jared Lund,1462588210182344714,"Overland Park, KS",2023-01-21 19:30:05,@bkharrellauthor @Steven_W_Sloan @ericareport The US isn’t the only place on earth where you can get guns. But it I… https://t.co/5ZBvEW6Q07,0,Twitter for iPhone,
RDP,1542831952234946560,"Kansas City, MO",2023-01-21 19:03:36,@JkdjeffNye This really illustrates the ignorance of Democrats. They want to defund police and take guns out of law… https://t.co/PuUQP3Pcwl,0,Twitter for iPhone,
Alexander Thomas 🇺🇲,1594539914137403392,"Smithville, MO",2023-01-21 19:00:30,"@RyannMcEnany Well, if you aren't self sustaining - we will fall since that's what the govt. Aims to do. If you are… https://t.co/n6OahW3cg6",0,Twitter for Android,
Mike Green,2962721054,"Kansas City, MO",2023-01-21 18:00:49,@hollingswordy @VaughnBrandon85 @UmEarth2Chelsea In my city 2 guys go into a gas station with mask and guns to rob… https://t.co/b0qZTDETlR,0,Twitter for Android,
LGBTQ Commission of Kansas City,1387158796104048641,"Kansas City, MO",2023-01-21 17:18:17,"At our LGBTQ+ Town Hall, the issue of safety and security was the number one issue for folks. 

Safety in our space… https://t.co/CVayOt6sge",0,Twitter for iPhone,
Jeremy Danner,95260252,Kansas City,2023-01-21 16:22:59,What if drag queens dressed up as guns? Would Missouri legislators like them more?,15,Twitter for iPhone,
marcel,940342080,,2023-01-21 16:13:23,"@ericareport Also, get rid of open, conceal and carry. Go skeet shooting, go hunting, go to the firing range. When… https://t.co/7gvfLkoTPh",0,Twitter for iPhone,
Z Gunslinger78,388386553,"Kansas City, KS ",2023-01-21 15:50:22,Franchi #12Gauge W/00Buckshot 💥💥💥🔥🔥🔥🛎️🛎️ #Franchi # https://t.co/FKVzfRotoY via @YouTube @Franchi_USA @Benelli_USA… https://t.co/kGzFj6dzPj,1,Twitter for iPhone,
Daniel Scharpenburg,1447458626,"Parkville, MO",2023-01-21 15:07:27,@BenBakerMO You’d be cooler if you wanted to protect kids from guns.,0,Twitter for iPhone,
